RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
0.9581880586975166,0.43286429920321495,-0.2752492202906783,-0.06638553439958268,-0.9478305549721481,-0.04129426780844242,0.7488942719362448,-0.3541817159606787,1.1542328570229121,2
-1.75783736725757,-0.510460074571353,-1.836572732014658,2.917940263438191,-2.7309617184369097,7.727862148919882,-1.4707999840350188,-0.3541817159606787,-0.6017261981356682,5
0.13980671324530033,0.8077752682674673,-0.33688041154294057,0.36530939233166754,-0.007885445548847523,-0.7068338909197849,0.34600456109214606,-0.3541817159606787,-0.6017261981356682,6
0.12193812491661087,-0.3895210522925626,0.8820475932240265,-0.5168498057713221,-0.3258080560890838,0.10811258635940994,-0.33054608541964364,-0.3541817159606787,-0.6017261981356682,2
-0.44985670160018265,-0.23230032333013353,0.587587457240995,0.027461188802863107,0.2271008318069776,0.05378282120746373,-0.5814019431150262,-0.3541817159606787,-0.6017261981356682,2
1.7944379924784224,0.021671623455326177,0.45062925445818963,-0.44177242720936544,-0.408744389273495,0.10811258635940994,-0.026478379122209978,-0.3541817159606787,-0.6017261981356682,7
-0.5642156669035889,-0.8128076302683303,0.1150816576403169,-0.04761618975909353,0.821477886295225,0.06736526249545018,-0.056885149751954016,-0.14423457944727822,1.6706914026577886,2
-0.5284784902462893,-0.34114544338104513,0.5259562659887328,0.5530028387365591,-0.27051716729946984,0.10811258635940994,-0.36855454870682197,-0.3541817159606787,1.1542328570229121,3
0.03974261860482973,-0.6676808035337821,0.5464999964061534,-0.3291563593664305,0.37915077597839153,0.10811258635940994,-0.33054608541964364,-0.3541817159606787,-0.6017261981356682,1
-0.4963150312547435,-0.7644320213568149,0.5738916369627145,0.14007725664579807,0.9458823860718417,0.18960723408732952,-0.7334357962637423,-0.3541817159606787,-0.6017261981356682,2
-0.5963791258951348,-0.014610083228310313,0.5944353673801351,-0.4042337379283871,0.185632665214772,0.21677211666330268,-0.5814019431150262,-0.3541817159606787,-0.6017261981356682,2
